Parc,Sub-P,NumAr,x_rev,y,x,DAP,Prod.,Ambiente,copa,Observacao
1,2,390,65,200,-35,11.4,0,Terra Firme,intermediaria,
1,1,34,15,200,-35,23.8,1,Terra Firme,co-dominante,
3,1,23,15,200,-35,48,1,Baixio,co-dominante,
1,4,411,165,210,-35,19.4,1,Baixio,co-dominante,suprimida por cípo
1,4,375,165,210,-35,20.8,0,Baixio,intermediaria,
3,8,360,365,210,-35,26.8,1,Baixio,intermediaria,
3,7,326,315,215,-35,38.3,1,Baixio,co-dominante,
"3,3,109,115,220,-35,14.7,0,Baixio,suprimida,""cipo deixo tronco, deformado"""
1,3,125,115,222,-35,39.5,1,Baixio,dominante,suprimida por cípo
1,8,315,365,225,-35,45,1,Terra Firme,dominante,** cípo
